timestamp_ms,ax_slav,ay_slav,az_slav,gx_slav,gy_slav,gz_slav,angle_x_slav,angle_y_slav,angle_z_slav,flex_slav_0,flex_slav_1,flex_slav_2,flex_slav_3,flex_slav_4,ax,ay,az,gx,gy,gz,angle_x,angle_y,angle_z,flex_0,flex_1,flex_2,flex_3,flex_4,Label
297244,-0.7338,-3.0210,-9.3880,-0.0496,0.0203,-0.0100,-17.8356,-4.1087,161.6660,75.79,98.92,101.72,127.34,90.62,-1.1714,4.1505,-8.7601,-0.2174,0.0695,-0.2196,24.9697,-6.7437,154.0130,203.01,278.87,241.83,86.52,121.89,nothing
297310,-0.6806,-3.0437,-9.3353,-0.0121,-0.0184,0.0057,-17.9245,-4.0369,161.5961,75.79,94.44,97.30,118.87,90.62,-1.1977,4.2499,-8.5745,-0.2868,0.1741,-0.3797,25.5561,-6.9386,153.3852,212.89,269.19,214.99,86.52,134.91,nothing
297376,-0.6716,-3.0659,-9.4413,0.0368,-0.0318,0.0376,-17.9363,-3.9533,161.6040,70.43,85.48,97.30,123.11,94.86,-1.2061,4.1463,-8.6272,-0.3480,0.1815,-0.2200,25.5049,-7.0601,153.3982,212.89,278.87,255.25,108.96,134.91,nothing
297442,-0.6943,-3.0126,-9.2994,0.0038,-0.0087,0.0368,-17.9200,-4.0079,161.6074,70.43,94.44,106.14,127.34,90.62,-1.1564,4.2139,-8.6176,-0.2052,0.1756,-0.2224,25.6810,-6.9671,153.2553,252.40,298.23,241.83,92.13,126.23,nothing
297508,-0.7476,-3.0443,-9.3533,-0.0035,-0.0093,0.0284,-17.9479,-4.1773,161.5399,81.15,98.92,101.72,123.11,86.39,-1.2959,3.9422,-8.6949,-0.0627,0.0843,-0.0653,24.9187,-7.3488,153.8758,252.40,278.87,214.99,80.91,126.23,nothing
297574,-0.6842,-3.0389,-9.3575,-0.0255,-0.0207,-0.0033,-17.9475,-4.0776,161.5642,70.43,89.96,92.89,118.87,90.62,-1.2223,4.1379,-8.6577,-0.0823,0.0626,-0.0010,25.1226,-7.3039,153.6929,232.64,269.19,241.83,97.74,139.25,nothing
297640,-0.7279,-3.1126,-9.4018,-0.0134,0.0275,-0.0337,-18.1077,-4.1407,161.3926,65.07,94.44,106.14,131.58,94.86,-1.0960,4.6665,-8.5548,-0.3412,0.0830,-0.0934,26.7822,-6.8599,152.2146,272.15,298.23,241.83,97.74,130.57,nothing
297706,-0.7362,-2.9935,-9.2886,0.0142,0.0007,-0.0263,-17.9598,-4.2271,161.5161,75.79,103.40,106.14,127.34,90.62,-1.2361,4.0954,-8.6326,-0.2758,0.1134,0.0106,25.9732,-7.1149,152.9268,272.15,288.55,228.41,80.91,121.89,nothing
297772,-0.6979,-3.0461,-9.3874,-0.0582,0.0361,-0.0207,-17.9457,-4.1358,161.5520,75.79,94.44,101.72,118.87,90.62,-1.1936,4.0888,-8.5763,-0.0545,0.0912,0.0049,25.6270,-7.1375,153.2560,242.52,259.51,228.41,92.13,134.91,nothing
297838,-0.7434,-3.0743,-9.3168,-0.0331,0.0014,-0.0166,-18.0763,-4.2345,161.4007,65.07,85.48,101.72,127.34,94.86,-1.2127,4.0859,-8.6763,-0.0349,-0.0266,0.1562,25.3148,-7.1724,153.5481,252.40,288.55,255.25,97.74,130.57,nothing
